"Period",Total,Male,Female
"Period",Medium,Medium,Medium
"Period",Total,Total,Total
"1960",25012374,12550691,12461683
"1961",25765673,12936583,12829090
"1962",26513030,13320983,13192047
"1963",27261747,13708120,13553627
"1964",27984155,14081950,13902205
"1965",28704674,14452831,14251843
"1966",29435571,14829861,14605710
"1967",30130983,15205393,14925590
"1968",30838302,15576098,15262204
"1969",31544266,15940965,15603301
"1970",32240827,16308607,15932220
"1971",32882704,16648884,16233820
"1972",33505406,16955438,16549968
"1973",34103149,17234877,16868272
"1974",34692266,17514223,17178043
"1975",35280725,17765828,17514897
"1976",35848523,18058503,17790020
"1977",36411795,18349416,18062379
"1978",36969185,18637254,18331931
"1979",37534236,18929361,18604875
"1980",38123775,19235736,18888039
"1981",38723248,19535680,19187568
"1982",39326352,19837392,19488960
"1983",39910403,20129120,19781283
"1984",40405956,20375175,20030781
"1985",40805744,20575600,20230144
"1986",41213674,20771997,20441677
"1987",41621690,20959980,20661710
"1988",42031247,21155226,20876021
"1989",42449038,21357389,21091649
"1990",42869283,21568181,21301102
"1991",43295704,21783914,21511790
"1992",43747962,22013655,21734307
"1993",44194628,22242554,21952074
"1994",44641540,22472496,22169044
"1995",45092991,22705329,22387662
"1996",45524681,22924512,22600169
"1997",45953580,23148092,22805488
"1998",46286503,23295727,22990776
"1999",46616677,23457837,23158840
"2000",47008111,23666769,23341342
"2001",47370164,23854971,23515193
"2002",47644736,23991377,23653359
"2003",47892330,24120872,23771458
"2004",48082519,24210740,23871779
"2005",48184561,24243234,23941327
"2006",48438292,24369561,24068731
"2007",48683638,24491190,24192448
"2008",49054708,24671648,24383060
"2009",49307835,24774341,24533494
"2010",49554112,24881114,24672998
"2011",49936638,25069867,24866771
"2012",50199853,25187380,25012473
"2013",50428893,25285319,25143574
"2014",50746659,25445077,25301582
"2015",51014947,25585894,25429053
"2016",51217803,25670949,25546854
"2017",51361911,25736793,25625118
"2018",51585058,25857689,25727369
"2019",51764822,25948706,25816116
"2020",51836239,25925697,25910542
"2021",51769539,25870941,25898598
"2022",51672569,25818686,25853883
"2023",51712619,25859888,25852731
"2024",51751065,25876776,25874289
"2025",51684564,25837903,25846661
"2026",51609121,25795052,25814069
"2027",51534551,25753184,25781367
"2028",51459877,25711849,25748028
"2029",51384052,25670259,25713793
"2030",51305713,25627273,25678440
"2031",51223269,25581979,25641290
"2032",51135265,25533877,25601388
"2033",51040632,25482355,25558277
"2034",50937726,25426558,25511168
"2035",50824868,25365537,25459331
"2036",50701389,25299055,25402334
"2037",50567057,25226848,25340209
"2038",50417167,25146147,25271020
"2039",50247657,25055270,25192387
"2040",50059218,24954651,25104567
"2041",49851637,24844377,25007260
"2042",49625415,24724984,24900431
"2043",49380766,24596640,24784126
"2044",49117432,24459520,24657912
"2045",48835031,24313819,24521212
"2046",48532231,24158908,24373323
"2047",48208374,23994470,24213904
"2048",47863071,23820596,24042475
"2049",47495914,23636945,23858969
"2050",47106960,23443302,23663658
"2051",46697391,23240251,23457140
"2052",46267614,23028412,23239202
"2053",45818111,22808799,23009312
"2054",45350648,22581760,22768888
"2055",44867534,22347707,22519827
"2056",44371641,22107905,22263736
"2057",43864958,21863691,22001267
"2058",43349217,21616063,21733154
"2059",42827316,21365813,21461503
"2060",42302086,21114313,21187773
"2061",41775305,20862429,20912876
"2062",41248542,20610866,20637676
"2063",40723791,20360655,20363136
"2064",40202384,20112015,20090369
"2065",39685210,19865280,19819930
"2066",39172974,19620983,19551991
"2067",38666431,19379441,19286990
"2068",38165892,19140643,19025249
"2069",37670942,18904218,18766724
"2070",37181774,18670107,18511667
"2071",36698961,18438434,18260527
"2072",36222293,18209029,18013264
